NACA 0010
     1.000000    0.001050
     0.994024    0.001405
     0.984007    0.002441
     0.972685    0.004027
     0.960218    0.006159
     0.946906    0.008763
     0.932936    0.011773
     0.918531    0.015129
     0.903744    0.018748
     0.888687    0.022592
     0.873379    0.026574
     0.858013    0.030623
     0.842710    0.034624
     0.827602    0.038502
     0.812818    0.042154
     0.798283    0.045537
     0.784013    0.048616
     0.769927    0.051346
     0.755937    0.053736
     0.742001    0.055765
     0.727960    0.057442
     0.713728    0.058811
     0.699237    0.059889
     0.684380    0.060732
     0.669168    0.061399
     0.653604    0.061928
     0.637702    0.062390
     0.621624    0.062825
     0.605460    0.063234
     0.589272    0.063632
     0.573168    0.064003
     0.557134    0.064321
     0.541167    0.064586
     0.525301    0.064775
     0.509466    0.064868
     0.493627    0.064877
     0.477801    0.064798
     0.461937    0.064626
     0.446020    0.064382
     0.430088    0.064068
     0.414105    0.063682
     0.398069    0.063245
     0.382030    0.062759
     0.365962    0.062220
     0.349879    0.061644
     0.333829    0.061024
     0.317780    0.060352
     0.301755    0.059639
     0.285786    0.058871
     0.269841    0.058041
     0.253960    0.057153
     0.238155    0.056186
     0.222412    0.055139
     0.206785    0.054003
     0.191267    0.052755
     0.175886    0.051391
     0.160672    0.049884
     0.145622    0.048222
     0.130796    0.046388
     0.116212    0.044363
     0.101971    0.042144
     0.088185    0.039723
     0.075074    0.037131
     0.062911    0.034408
     0.052009    0.031645
     0.042577    0.028926
     0.034648    0.026336
     0.028088    0.023904
     0.022674    0.021634
     0.018188    0.019503
     0.014444    0.017484
     0.011296    0.015549
     0.008638    0.013671
     0.006399    0.011827
     0.004527    0.009996
     0.002991    0.008167
     0.001779    0.006330
     0.000887    0.004489
     0.000309    0.002658
     0.000033    0.000868
     0.000033   -0.000868
     0.000309   -0.002658
     0.000887   -0.004489
     0.001779   -0.006330
     0.002991   -0.008167
     0.004527   -0.009996
     0.006399   -0.011827
     0.008638   -0.013671
     0.011296   -0.015549
     0.014444   -0.017484
     0.018188   -0.019503
     0.022674   -0.021633
     0.028088   -0.023904
     0.034648   -0.026336
     0.042577   -0.028926
     0.052009   -0.031645
     0.062911   -0.034408
     0.075074   -0.037131
     0.088185   -0.039723
     0.101971   -0.042144
     0.116212   -0.044363
     0.130796   -0.046388
     0.145622   -0.048222
     0.160672   -0.049884
     0.175886   -0.051391
     0.191267   -0.052755
     0.206785   -0.054003
     0.222412   -0.055139
     0.238155   -0.056186
     0.253960   -0.057153
     0.269841   -0.058040
     0.285786   -0.058871
     0.301755   -0.059639
     0.317780   -0.060352
     0.333829   -0.061023
     0.349879   -0.061644
     0.365962   -0.062220
     0.382030   -0.062759
     0.398069   -0.063245
     0.414105   -0.063682
     0.430088   -0.064068
     0.446020   -0.064382
     0.461937   -0.064626
     0.477802   -0.064797
     0.493627   -0.064877
     0.509466   -0.064868
     0.525301   -0.064774
     0.541167   -0.064586
     0.557134   -0.064321
     0.573168   -0.064003
     0.589272   -0.063632
     0.605460   -0.063234
     0.621624   -0.062825
     0.637702   -0.062390
     0.653604   -0.061928
     0.669168   -0.061399
     0.684379   -0.060732
     0.699237   -0.059889
     0.713728   -0.058811
     0.727960   -0.057442
     0.742001   -0.055765
     0.755937   -0.053736
     0.769927   -0.051346
     0.784014   -0.048616
     0.798283   -0.045537
     0.812818   -0.042154
     0.827602   -0.038502
     0.842710   -0.034624
     0.858013   -0.030623
     0.873380   -0.026574
     0.888687   -0.022591
     0.903744   -0.018748
     0.918531   -0.015129
     0.932937   -0.011772
     0.946907   -0.008763
     0.960219   -0.006159
     0.972685   -0.004027
     0.984008   -0.002441
     0.994025   -0.001405
     1.000000   -0.001050
